probe	unauth	customer
POST /orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/reveal	400	400
POST /orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/accept-rules	401	404
POST /orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/activation-ready	401	404
POST /admin/orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/deliver	401	403
POST /admin/orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/activation-instructions	401	403
POST /admin/orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/activation-link	401	403
POST /admin/orders/00000000-0000-4000-8000-000000099901/items/00000000-0000-4000-8000-000000099902/activation-restart	401	403
GET /admin/subscriptions/00000000-0000-4000-8000-000000099902/credentials	401	403
GET /admin/next/orders	401	403
GET /admin/next/subscriptions	401	403
GET /admin/next/users/slim?search=qa	401	403
GET /admin/next/coupons/newsletter	401	403
GET /admin/next/search?q=qa	401	403
GET /admin/fulfillment/queue	401	403
